time,theta
0,0.01,-1.59638e-05
0.005,0.00999992,-3.18476e-05
0.01,0.00999976,-4.76517e-05
0.015,0.00999952,-6.33765e-05
0.02,0.00999921,-7.90221e-05
0.025,0.00999881,-9.45889e-05
0.03,0.00999834,-0.000110077
0.035,0.00999779,-0.000125487
0.04,0.00999716,-0.000140819
0.045,0.00999646,-0.000156073
0.05,0.00999568,-0.000171249
0.055,0.00999482,-0.000186348
0.06,0.00999389,-0.000201371
0.065,0.00999288,-0.000216316
0.07,0.0099918,-0.000231185
0.075,0.00999064,-0.000245978
0.08,0.00998941,-0.000260695
0.085,0.00998811,-0.000275337
0.09,0.00998673,-0.000289903
0.095,0.00998528,-0.000304393
0.1,0.00998376,-0.000318809
0.105,0.00998217,-0.00033315
0.11,0.0099805,-0.000347417
0.115,0.00997876,-0.00036161
0.12,0.00997696,-0.000375729
0.125,0.00997508,-0.000389774
0.13,0.00997313,-0.000403746
0.135,0.00997111,-0.000417645
0.14,0.00996902,-0.000431471
0.145,0.00996686,-0.000445225
0.15,0.00996464,-0.000458906
0.155,0.00996234,-0.000472515
0.16,0.00995998,-0.000486053
0.165,0.00995755,-0.000499518
0.17,0.00995505,-0.000512913
0.175,0.00995249,-0.000526236
0.18,0.00994986,-0.000539489
0.185,0.00994716,-0.000552671
0.19,0.0099444,-0.000565782
0.195,0.00994157,-0.000578824
0.2,0.00993867,-0.000591796
0.205,0.00993572,-0.000604698
0.21,0.00993269,-0.000617531
0.215,0.0099296,-0.000630294
0.22,0.00992645,-0.000642989
0.225,0.00992324,-0.000655616
0.23,0.00991996,-0.000668173
0.235,0.00991662,-0.000680663
0.24,0.00991322,-0.000693085
0.245,0.00990975,-0.000705439
0.25,0.00990622,-0.000717726
0.255,0.00990263,-0.000729946
0.26,0.00989898,-0.000742099
0.265,0.00989527,-0.000754185
0.27,0.0098915,-0.000766205
0.275,0.00988767,-0.000778158
0.28,0.00988378,-0.000790045
0.285,0.00987983,-0.000801867
0.29,0.00987582,-0.000813623
0.295,0.00987175,-0.000825314
0.3,0.00986763,-0.00083694
0.305,0.00986344,-0.000848501
0.31,0.0098592,-0.000859998
0.315,0.0098549,-0.00087143
0.32,0.00985054,-0.000882798
0.325,0.00984613,-0.000894102
0.33,0.00984166,-0.000905343
0.335,0.00983713,-0.00091652
0.34,0.00983255,-0.000927633
0.345,0.00982791,-0.000938684
0.35,0.00982322,-0.000949672
0.355,0.00981847,-0.000960598
0.36,0.00981367,-0.000971461
0.365,0.00980881,-0.000982263
0.37,0.0098039,-0.000993002
0.375,0.00979893,-0.00100368
0.38,0.00979391,-0.0010143
0.385,0.00978884,-0.00102485
0.39,0.00978372,-0.00103535
0.395,0.00977854,-0.00104578
0.4,0.00977331,-0.00105615
0.405,0.00976803,-0.00106646
0.41,0.0097627,-0.00107672
0.415,0.00975732,-0.00108691
0.42,0.00975188,-0.00109704
0.425,0.0097464,-0.00110712
0.43,0.00974086,-0.00111713
0.435,0.00973527,-0.00112709
0.44,0.00972964,-0.00113698
0.445,0.00972395,-0.00114682
0.45,0.00971822,-0.0011566
0.455,0.00971244,-0.00116632
0.46,0.00970661,-0.00117599
0.465,0.00970073,-0.00118559
0.47,0.0096948,-0.00119514
0.475,0.00968882,-0.00120463
0.48,0.0096828,-0.00121407
0.485,0.00967673,-0.00122344
0.49,0.00967061,-0.00123277
0.495,0.00966445,-0.00124203
0.5,0.00965824,-0.00125124
0.505,0.00965198,-0.00126039
0.51,0.00964568,-0.00126949
0.515,0.00963933,-0.00127853
0.52,0.00963294,-0.00128751
0.525,0.0096265,-0.00129644
0.53,0.00962002,-0.00130532
0.535,0.00961349,-0.00131414
0.54,0.00960692,-0.0013229
0.545,0.00960031,-0.00133161
0.55,0.00959365,-0.00134027
0.555,0.00958695,-0.00134887
0.56,0.0095802,-0.00135742
0.565,0.00957342,-0.00136592
0.57,0.00956659,-0.00137436
0.575,0.00955972,-0.00138275
0.58,0.0095528,-0.00139109
0.585,0.00954585,-0.00139937
0.59,0.00953885,-0.0014076
0.595,0.00953181,-0.00141578
0.6,0.00952473,-0.0014239
0.605,0.00951761,-0.00143198
0.61,0.00951045,-0.00144
0.615,0.00950325,-0.00144797
0.62,0.00949601,-0.00145589
0.625,0.00948873,-0.00146376
0.63,0.00948141,-0.00147158
0.635,0.00947406,-0.00147934
0.64,0.00946666,-0.00148706
0.645,0.00945922,-0.00149472
0.65,0.00945175,-0.00150234
0.655,0.00944424,-0.0015099
0.66,0.00943669,-0.00151742
0.665,0.0094291,-0.00152488
0.67,0.00942148,-0.0015323
0.675,0.00941382,-0.00153967
0.68,0.00940612,-0.00154698
0.685,0.00939838,-0.00155425
0.69,0.00939061,-0.00156147
0.695,0.00938281,-0.00156864
0.7,0.00937496,-0.00157577
0.705,0.00936708,-0.00158284
0.71,0.00935917,-0.00158987
0.715,0.00935122,-0.00159685
0.72,0.00934324,-0.00160378
0.725,0.00933522,-0.00161066
0.73,0.00932716,-0.0016175
0.735,0.00931908,-0.00162429
0.74,0.00931095,-0.00163103
0.745,0.0093028,-0.00163772
0.75,0.00929461,-0.00164437
0.755,0.00928639,-0.00165098
0.76,0.00927813,-0.00165753
0.765,0.00926985,-0.00166404
0.77,0.00926153,-0.00167051
0.775,0.00925317,-0.00167693
0.78,0.00924479,-0.0016833
0.785,0.00923637,-0.00168963
0.79,0.00922792,-0.00169591
0.795,0.00921944,-0.00170215
0.8,0.00921093,-0.00170834
0.805,0.00920239,-0.00171449
0.81,0.00919382,-0.0017206
0.815,0.00918522,-0.00172666
0.82,0.00917658,-0.00173267
0.825,0.00916792,-0.00173864
0.83,0.00915923,-0.00174457
0.835,0.0091505,-0.00175046
0.84,0.00914175,-0.0017563
0.845,0.00913297,-0.0017621
0.85,0.00912416,-0.00176785
0.855,0.00911532,-0.00177356
0.86,0.00910645,-0.00177923
0.865,0.00909756,-0.00178486
0.87,0.00908863,-0.00179045
0.875,0.00907968,-0.00179599
0.88,0.0090707,-0.00180149
0.885,0.00906169,-0.00180695
0.89,0.00905266,-0.00181236
0.895,0.0090436,-0.00181774
0.9,0.00903451,-0.00182307
0.905,0.00902539,-0.00182836
0.91,0.00901625,-0.00183362
0.915,0.00900708,-0.00183883
0.92,0.00899789,-0.001844
0.925,0.00898867,-0.00184913
0.93,0.00897942,-0.00185422
0.935,0.00897015,-0.00185926
0.94,0.00896085,-0.00186427
0.945,0.00895153,-0.00186924
0.95,0.00894219,-0.00187417
0.955,0.00893282,-0.00187906
0.96,0.00892342,-0.00188391
0.965,0.008914,-0.00188872
0.97,0.00890456,-0.00189349
0.975,0.00889509,-0.00189822
0.98,0.0088856,-0.00190292
0.985,0.00887608,-0.00190757
0.99,0.00886655,-0.00191219
0.995,0.00885699,-0.00191677
1,0.0088474,-0.00192131
1.005,0.0088378,-0.00192581
1.01,0.00882817,-0.00193027
1.015,0.00881852,-0.0019347
1.02,0.00880884,-0.00193909
1.025,0.00879915,-0.00194344
1.03,0.00878943,-0.00194775
1.035,0.00877969,-0.00195203
1.04,0.00876993,-0.00195627
1.045,0.00876015,-0.00196047
1.05,0.00875035,-0.00196464
1.055,0.00874052,-0.00196877
1.06,0.00873068,-0.00197286
1.065,0.00872082,-0.00197692
